סמל ועדה|שם ועדה|סמל ישוב בחירות|שם ישוב בחירות|סמל קלפי|סמל רכוז|כתובת קלפי|מקום קלפי|נגישה|נגישה מיוחדת|בוחרי כנסת בפועל
01|ירושלים|3000|ירושלים|3.0|018|מגן האלף,1 |סמינר בית יעקב - עטרת חן| | |608
01|ירושלים|3000|ירושלים|5.0|383|שבטי ישראל,27 |משרד החינוך| | |535
01|ירושלים|3000|ירושלים|6.0|018|מגן האלף,1 |סמינר בית יעקב - עטרת חן| | |690
01|ירושלים|3000|ירושלים|8.1|005|מגן האלף,3 |"מרכז קהילתי ""אשכולות"""| | |621
01|ירושלים|3000|ירושלים|8.2|005|מגן האלף,3 |"מרכז קהילתי ""אשכולות"""| | |621
01|ירושלים|3000|ירושלים|8.3|005|מגן האלף,3 |"מרכז קהילתי ""אשכולות"""| | |621
01|ירושלים|3000|ירושלים|8.4|005|מגן האלף,3 |"מרכז קהילתי ""אשכולות"""| | |621
01|ירושלים|3000|ירושלים|8.5|005|מגן האלף,3 |"מרכז קהילתי ""אשכולות"""| | |621
01|ירושלים|3000|ירושלים|8.6|005|מגן האלף,3 |"מרכז קהילתי ""אשכולות"""| | |621
01|ירושלים|3000|ירושלים|8.7|005|מגן האלף,3 |"מרכז קהילתי ""אשכולות"""| | |618
01|ירושלים|3000|ירושלים|9.0|018|מגן האלף,1 |סמינר בית יעקב - עטרת חן| | |679
01|ירושלים|3000|ירושלים|16.0|007|הנביאים,42 |"בי""ס אורט אולייסקי"| | |606
01|ירושלים|3000|ירושלים|17.0|007|הנביאים,42 |"בי""ס אורט אולייסקי"| | |616
01|ירושלים|3000|ירושלים|18.0|383|שבטי ישראל,27 |משרד החינוך| | |631
01|ירושלים|3000|ירושלים|20.1|021|אביגדורי,4 |"בי""ס בנות - דחסידי באיאן רוזין"| | |578
01|ירושלים|3000|ירושלים|20.2|021|אביגדורי,4 |"בי""ס בנות - דחסידי באיאן רוזין"| | |578
01|ירושלים|3000|ירושלים|20.3|021|אביגדורי,4 |"בי""ס בנות - דחסידי באיאן רוזין"| | |578
01|ירושלים|3000|ירושלים|20.4|021|אביגדורי,4 |"בי""ס בנות - דחסידי באיאן רוזין"| | |578
01|ירושלים|3000|ירושלים|20.5|021|אביגדורי,4 |"בי""ס בנות - דחסידי באיאן רוזין"| | |574
01|ירושלים|3000|ירושלים|25.0|018|מגן האלף,1 |סמינר בית יעקב - עטרת חן| | |590
01|ירושלים|3000|ירושלים|26.1|075|נטר,40 |"בי""ס יסודי בית מרגלית"|כ|כ|593
